billing_period,client_name,service_line,billable_hours,hourly_rate,software_cost,invoice_value,project_status
2029-10-21,LocalBank,App Dev,10,150,2567.2,49607.85,Completed
2029-10-28,MegaCorp,Cyber Audit,100,300,276.46,47623.49,On Hold
2029-11-04,MegaCorp,Cyber Audit,250,200,4003.58,33086.71,Completed
2029-11-11,MegaCorp,O365 Licenses,10,300,2022.8,20656.3,Completed
2029-11-18,MegaCorp,Cyber Audit,250,200,1392.47,17772.26,On Hold
2029-11-25,MegaCorp,Cyber Audit,100,300,4640.9,35684.77,Ongoing
2029-12-02,TechStart,Cloud Migration,0,150,3160.45,32565.65,On Hold
2029-12-09,LocalBank,O365 Licenses,100,300,540.47,39383.9,Completed
2029-12-16,TechStart,Cloud Migration,10,300,3135.69,25309.37,Completed
2029-12-23,CityGov,Cloud Migration,100,300,2408.63,23265.29,On Hold
2029-12-30,CityGov,Cloud Migration,40,300,4643.54,39170.56,On Hold
2030-01-06,LocalBank,Cyber Audit,10,300,45.13,35691.93,Completed
2030-01-13,MegaCorp,Cloud Migration,10,150,4357.87,3429.02,Completed
2030-01-20,CityGov,Cyber Audit,100,300,129.57,7923.24,On Hold
2030-01-27,LocalBank,Monthly Retainer,0,300,2132.97,5094.37,On Hold
2030-02-03,CityGov,Cloud Migration,0,200,34.69,43545.32,On Hold
2030-02-10,MegaCorp,Cloud Migration,0,300,4568.65,20645.06,Completed
2030-02-17,TechStart,O365 Licenses,100,200,993.77,22141.75,On Hold
2030-02-24,LocalBank,Cyber Audit,100,0,3023.55,23091.16,On Hold
2030-03-03,MegaCorp,Cyber Audit,10,300,4967.13,3133.99,On Hold
2030-03-10,MegaCorp,Cyber Audit,100,150,3405.94,6769.24,On Hold
2030-03-17,CityGov,O365 Licenses,40,300,684.44,47664.08,Completed
2030-03-24,TechStart,O365 Licenses,0,300,4639.83,3207.67,On Hold
2030-03-31,TechStart,App Dev,100,300,3279.78,39400.44,On Hold
2030-04-07,LocalBank,Monthly Retainer,40,200,3556.55,14733.86,On Hold
2030-04-14,CityGov,Cyber Audit,250,300,748.23,28863.01,Ongoing
2030-04-21,CityGov,O365 Licenses,250,0,3269.18,19789.62,Completed
2030-04-28,CityGov,Cyber Audit,0,300,1135.84,38494.52,Ongoing
2030-05-05,MegaCorp,Monthly Retainer,10,300,3111.97,21134.21,On Hold
2030-05-12,LocalBank,O365 Licenses,100,200,2326.31,2345.15,Ongoing
2030-05-19,LocalBank,Cyber Audit,250,300,471.22,41218.39,Completed
2030-05-26,MegaCorp,Monthly Retainer,40,300,2175.28,22005.53,Completed
2030-06-02,MegaCorp,Cyber Audit,250,0,4016.89,10440.62,Completed
2030-06-09,CityGov,Cyber Audit,40,300,4768.22,31265.46,Ongoing
2030-06-16,LocalBank,Cloud Migration,0,200,3805.5,40403.9,Completed
2030-06-23,LocalBank,App Dev,100,200,90.65,38962.15,On Hold
2030-06-30,MegaCorp,O365 Licenses,40,150,802.66,24747.47,Ongoing
2030-07-07,MegaCorp,Cloud Migration,10,150,2283.4,27747.52,Completed
2030-07-14,CityGov,Monthly Retainer,100,0,891.53,6397.71,On Hold
2030-07-21,LocalBank,Cloud Migration,100,150,121.01,5142.79,Completed
2030-07-28,CityGov,Monthly Retainer,100,300,4157.47,44738.88,Completed
2030-08-04,TechStart,Monthly Retainer,250,200,4871.63,8114.09,Ongoing
2030-08-11,CityGov,App Dev,0,200,2911.13,9388.23,Ongoing
2030-08-18,MegaCorp,App Dev,100,150,2007.31,7115.82,On Hold
2030-08-25,CityGov,Cyber Audit,0,300,1938.01,46439.39,On Hold
2030-09-01,MegaCorp,O365 Licenses,10,200,860.02,20804.01,Ongoing
2030-09-08,TechStart,Cloud Migration,0,150,359.15,28403.35,On Hold
2030-09-15,MegaCorp,O365 Licenses,0,300,316.98,35716.99,Ongoing
2030-09-22,MegaCorp,Cyber Audit,40,150,4822.66,49944.2,On Hold
2030-09-29,CityGov,O365 Licenses,10,150,245.43,8699.52,Ongoing
2030-10-06,CityGov,Cloud Migration,40,0,3187.8,10072.04,Ongoing
2030-10-13,LocalBank,Monthly Retainer,250,150,392.48,32998.41,On Hold
2030-10-20,LocalBank,Monthly Retainer,250,150,3017.21,15661.45,Ongoing
2030-10-27,CityGov,App Dev,0,150,4965.91,10120.84,Ongoing
2030-11-03,MegaCorp,App Dev,0,150,3697.75,10214.11,Ongoing
2030-11-10,CityGov,Cloud Migration,250,200,38.32,22404.03,On Hold
2030-11-17,MegaCorp,Cyber Audit,10,0,3272.51,19497.56,On Hold
2030-11-24,LocalBank,Monthly Retainer,0,300,3006.35,28347.54,Completed
2030-12-01,LocalBank,O365 Licenses,40,0,4048.23,29382.39,On Hold
2030-12-08,LocalBank,Cloud Migration,100,200,4364.51,26625.97,On Hold
2030-12-15,CityGov,Cloud Migration,100,300,1954.45,30263.04,On Hold
2030-12-22,LocalBank,Monthly Retainer,250,0,2022.31,22769.69,Completed
2030-12-29,LocalBank,Cloud Migration,250,300,1245.27,25397.95,On Hold
2031-01-05,TechStart,Monthly Retainer,10,0,1847.91,49006.56,On Hold
2031-01-12,MegaCorp,O365 Licenses,0,200,2831.51,6648.64,Ongoing
2031-01-19,MegaCorp,O365 Licenses,10,200,4707.17,20538.77,On Hold
2031-01-26,CityGov,App Dev,250,200,3855.08,20303.09,Ongoing
2031-02-02,TechStart,Cloud Migration,0,0,1760.29,17022.27,Completed
2031-02-09,TechStart,Cloud Migration,10,150,1462.34,27405.3,Ongoing
2031-02-16,TechStart,Cloud Migration,0,0,3991.35,26358.5,On Hold
2031-02-23,MegaCorp,Monthly Retainer,10,300,1864.29,14840.69,On Hold
2031-03-02,MegaCorp,Cloud Migration,40,150,1855.52,40902.48,Ongoing
2031-03-09,MegaCorp,O365 Licenses,40,200,3140.9,18785.64,On Hold
2031-03-16,LocalBank,App Dev,250,200,125.14,46819.26,Ongoing
2031-03-23,MegaCorp,Cyber Audit,100,200,3762.27,35829.28,Completed
2031-03-30,LocalBank,App Dev,40,300,1141.17,15230.96,On Hold
2031-04-06,LocalBank,O365 Licenses,10,200,4016.56,22734.62,Ongoing
2031-04-13,TechStart,O365 Licenses,250,150,2341.54,36348.87,Completed
2031-04-20,TechStart,Monthly Retainer,10,0,2943.81,13168.94,On Hold
2031-04-27,CityGov,Cloud Migration,0,300,3274.83,22758.94,On Hold
2031-05-04,LocalBank,Monthly Retainer,250,150,491.14,39122.36,Completed
2031-05-11,CityGov,Monthly Retainer,250,300,4483.11,10106.03,Ongoing
2031-05-18,TechStart,App Dev,250,200,379.57,11326.12,Ongoing
2031-05-25,TechStart,Cloud Migration,100,300,3941.23,23310.62,Completed
2031-06-01,TechStart,App Dev,250,150,4167.75,1078.77,On Hold
2031-06-08,TechStart,App Dev,100,0,3960.29,47971.14,Ongoing
2031-06-15,CityGov,Cyber Audit,0,300,3778.12,39144.73,Ongoing
2031-06-22,CityGov,App Dev,100,150,537.71,3786.13,Completed
2031-06-29,CityGov,App Dev,10,200,3048.36,11556.84,Completed
2031-07-06,MegaCorp,Cloud Migration,100,150,4800.16,12688.16,On Hold
2031-07-13,LocalBank,App Dev,0,300,3994.69,23004.38,Ongoing
2031-07-20,CityGov,App Dev,0,200,3483.45,18730.67,Completed
2031-07-27,MegaCorp,App Dev,10,300,35.4,35477.83,Completed
2031-08-03,LocalBank,App Dev,250,200,94.48,37511.22,Ongoing
2031-08-10,TechStart,Monthly Retainer,250,150,1390.4,29459.47,Completed
2031-08-17,TechStart,Cyber Audit,10,200,556.35,19776.73,Ongoing
2031-08-24,TechStart,Monthly Retainer,0,0,799.27,17945.56,Ongoing
2031-08-31,CityGov,App Dev,250,200,1610.53,13279.13,Ongoing
2031-09-07,LocalBank,O365 Licenses,40,300,2186.2,20967.71,On Hold
2031-09-14,CityGov,Cloud Migration,100,200,1789.59,5768.59,Ongoing
2031-09-21,CityGov,O365 Licenses,0,200,2214.94,42188.44,On Hold
2031-09-28,LocalBank,Monthly Retainer,250,0,4524.5,12862.03,Completed
2031-10-05,MegaCorp,Cyber Audit,250,0,165.61,31524.84,Ongoing
2031-10-12,TechStart,O365 Licenses,10,0,4576.98,22618.01,Ongoing
2031-10-19,CityGov,Cloud Migration,250,150,4952.91,4803.78,Ongoing
2031-10-26,MegaCorp,Cyber Audit,10,200,39.28,19095.83,Ongoing
2031-11-02,MegaCorp,O365 Licenses,100,0,2406.42,8996.87,Ongoing
2031-11-09,CityGov,Cyber Audit,40,300,4179.37,36016.0,Ongoing
2031-11-16,MegaCorp,Cloud Migration,0,300,749.8,36413.04,Completed
2031-11-23,LocalBank,Monthly Retainer,0,150,1474.56,34729.16,Ongoing
2031-11-30,TechStart,Monthly Retainer,0,150,3238.54,20899.08,On Hold
2031-12-07,CityGov,Cyber Audit,250,200,1103.59,12906.49,Completed
2031-12-14,TechStart,O365 Licenses,10,200,2091.77,33467.15,Ongoing
2031-12-21,LocalBank,O365 Licenses,100,150,1176.81,7351.12,On Hold
2031-12-28,TechStart,Monthly Retainer,250,200,36.35,20297.24,Completed
2032-01-04,CityGov,Cloud Migration,250,200,1564.51,48170.52,On Hold
2032-01-11,MegaCorp,App Dev,10,150,74.7,23071.31,Completed
2032-01-18,TechStart,Cloud Migration,10,150,1502.52,17878.64,Ongoing
2032-01-25,TechStart,Cloud Migration,100,200,4621.83,42216.71,Completed
2032-02-01,MegaCorp,O365 Licenses,100,150,4416.13,24912.34,Ongoing
2032-02-08,MegaCorp,Cyber Audit,100,150,2066.1,40441.52,On Hold
2032-02-15,LocalBank,O365 Licenses,40,150,1394.84,44619.84,Ongoing
2032-02-22,LocalBank,Monthly Retainer,250,200,4064.63,47390.36,On Hold
2032-02-29,TechStart,Monthly Retainer,100,150,4513.96,38823.07,Ongoing
2032-03-07,CityGov,Cloud Migration,250,200,2430.65,31978.63,Ongoing
2032-03-14,LocalBank,App Dev,0,0,2902.42,36937.47,Ongoing
2032-03-21,CityGov,O365 Licenses,10,150,4846.6,39180.36,On Hold
2032-03-28,CityGov,App Dev,0,200,886.3,3059.65,On Hold
2032-04-04,TechStart,Monthly Retainer,100,300,261.55,3958.47,On Hold
2032-04-11,MegaCorp,Cyber Audit,40,0,4358.92,15583.12,On Hold
2032-04-18,CityGov,App Dev,250,200,3940.38,43101.14,On Hold
2032-04-25,LocalBank,O365 Licenses,250,150,4255.29,46407.02,Completed
2032-05-02,LocalBank,O365 Licenses,100,150,1492.11,44374.47,Ongoing
2032-05-09,LocalBank,O365 Licenses,0,200,4797.35,42274.7,Ongoing
2032-05-16,TechStart,App Dev,0,300,561.5,22940.25,Ongoing
2032-05-23,LocalBank,Monthly Retainer,0,300,3830.69,16593.94,On Hold
2032-05-30,LocalBank,Cloud Migration,40,300,2098.47,9709.42,On Hold
2032-06-06,LocalBank,O365 Licenses,40,200,119.06,43261.39,Completed
2032-06-13,CityGov,Cyber Audit,10,150,4497.25,25251.16,Completed
2032-06-20,TechStart,O365 Licenses,0,0,3332.95,41686.7,Completed
2032-06-27,LocalBank,Cyber Audit,100,300,1870.06,20935.66,Completed
2032-07-04,MegaCorp,Monthly Retainer,10,200,4978.6,28428.42,Completed
2032-07-11,CityGov,App Dev,10,0,3313.73,33229.45,Ongoing
2032-07-18,CityGov,O365 Licenses,100,0,1913.88,15845.63,Completed
2032-07-25,TechStart,Cloud Migration,40,300,494.97,27293.99,Completed
2032-08-01,CityGov,Cyber Audit,10,300,609.08,31190.86,On Hold
2032-08-08,LocalBank,App Dev,0,200,760.02,31928.45,Completed
2032-08-15,TechStart,App Dev,0,200,3447.71,20836.14,Ongoing
2032-08-22,MegaCorp,Cloud Migration,0,200,3304.74,39484.41,Ongoing
2032-08-29,TechStart,Cyber Audit,100,150,1038.58,2804.07,Completed
2032-09-05,TechStart,Cyber Audit,10,0,1798.11,2806.16,Completed
2032-09-12,MegaCorp,Cloud Migration,100,0,4337.18,42905.04,Ongoing
2032-09-19,LocalBank,O365 Licenses,10,150,2945.94,29328.39,Ongoing
2032-09-26,MegaCorp,App Dev,0,200,4228.77,34450.31,Completed
2032-10-03,LocalBank,Cloud Migration,10,300,1193.93,19157.51,Completed
2032-10-10,LocalBank,Cyber Audit,100,0,918.64,10502.52,Ongoing
2032-10-17,TechStart,Cyber Audit,10,0,3411.74,14630.58,Ongoing
2032-10-24,TechStart,Monthly Retainer,0,300,3289.77,48943.89,Completed
2032-10-31,TechStart,Cloud Migration,100,200,1992.53,5925.16,Completed
2032-11-07,TechStart,Monthly Retainer,0,200,241.29,24150.17,On Hold
2032-11-14,LocalBank,Cyber Audit,100,0,4193.18,22394.19,Ongoing
2032-11-21,LocalBank,App Dev,10,200,1617.26,17859.24,On Hold
2032-11-28,TechStart,Cloud Migration,40,150,4184.09,3371.94,Completed
2032-12-05,CityGov,Cyber Audit,0,200,3365.54,49754.16,Completed
2032-12-12,CityGov,Cyber Audit,100,150,3229.6,3502.66,Completed
2032-12-19,CityGov,O365 Licenses,0,150,3821.68,9756.59,Completed
2032-12-26,TechStart,Cloud Migration,0,300,1760.3,6988.0,Completed
2033-01-02,LocalBank,Cloud Migration,250,0,805.51,37814.73,On Hold
2033-01-09,LocalBank,Monthly Retainer,250,200,4327.78,39001.1,Completed
2033-01-16,MegaCorp,Cyber Audit,10,0,2188.57,4720.65,Ongoing
2033-01-23,LocalBank,O365 Licenses,10,200,4101.6,40939.07,On Hold
2033-01-30,TechStart,O365 Licenses,0,0,4004.73,18885.38,Completed
2033-02-06,TechStart,O365 Licenses,0,0,4354.19,35318.81,Completed
2033-02-13,LocalBank,App Dev,10,300,590.08,47086.5,Completed
2033-02-20,CityGov,Cyber Audit,40,300,1118.47,4394.54,Ongoing
2033-02-27,TechStart,Cyber Audit,250,0,1462.56,4458.65,On Hold
2033-03-06,MegaCorp,Cloud Migration,40,200,654.32,49988.4,Completed
2033-03-13,CityGov,Monthly Retainer,250,0,3334.43,33999.17,On Hold
2033-03-20,CityGov,Monthly Retainer,0,200,3737.44,14712.41,Completed
2033-03-27,LocalBank,Monthly Retainer,0,0,2601.36,22617.03,On Hold
2033-04-03,CityGov,O365 Licenses,100,150,1164.07,40310.87,Completed
2033-04-10,LocalBank,App Dev,40,0,1958.69,12717.42,Completed
2033-04-17,CityGov,Monthly Retainer,100,200,2640.23,46624.81,Completed
2033-04-24,LocalBank,O365 Licenses,100,0,534.28,34331.29,Completed
2033-05-01,CityGov,Cloud Migration,0,150,2444.31,8030.63,Completed
2033-05-08,LocalBank,Monthly Retainer,40,0,1911.91,4471.3,Completed
2033-05-15,LocalBank,Monthly Retainer,250,150,2593.86,15912.96,Completed
2033-05-22,LocalBank,Cloud Migration,100,300,558.11,49650.15,Completed
2033-05-29,LocalBank,App Dev,40,300,855.0,15415.03,Ongoing
2033-06-05,LocalBank,Cloud Migration,40,0,2309.91,10102.31,Completed
2033-06-12,MegaCorp,O365 Licenses,250,150,4289.79,40294.61,Ongoing
2033-06-19,LocalBank,App Dev,10,300,1578.74,1532.06,On Hold
2033-06-26,MegaCorp,Cyber Audit,0,150,3596.61,11391.27,Ongoing
2033-07-03,LocalBank,Cyber Audit,10,150,1592.8,39685.02,Ongoing
2033-07-10,MegaCorp,App Dev,40,0,3821.5,5050.47,Ongoing
2033-07-17,TechStart,App Dev,10,0,147.16,13578.01,Completed
2033-07-24,CityGov,Cyber Audit,10,200,3186.61,5843.67,Ongoing
2033-07-31,LocalBank,Cyber Audit,10,300,2059.32,45015.64,On Hold
2033-08-07,MegaCorp,Cyber Audit,40,150,296.01,22457.05,Completed
2033-08-14,MegaCorp,Cyber Audit,0,200,3974.28,2527.06,Ongoing
2033-08-21,CityGov,Cyber Audit,0,300,4588.63,27748.31,Completed
2033-08-28,LocalBank,App Dev,100,150,3273.55,24142.63,Ongoing
2033-09-04,CityGov,O365 Licenses,0,300,194.73,30288.8,Ongoing
2033-09-11,TechStart,O365 Licenses,100,300,4211.41,6938.99,Completed
2033-09-18,TechStart,Cyber Audit,10,300,4128.84,3246.3,Ongoing
2033-09-25,TechStart,Monthly Retainer,40,300,54.24,14572.7,On Hold
2033-10-02,TechStart,Cloud Migration,10,200,1312.92,25059.34,On Hold
2033-10-09,LocalBank,App Dev,250,200,103.51,31875.3,Ongoing
2033-10-16,MegaCorp,App Dev,0,150,4359.65,30261.45,Completed
2033-10-23,MegaCorp,Cyber Audit,250,300,389.71,27898.03,Ongoing
2033-10-30,MegaCorp,Cloud Migration,250,150,3262.28,41849.49,Completed
2033-11-06,CityGov,Cyber Audit,0,200,1488.94,15644.58,On Hold
2033-11-13,TechStart,O365 Licenses,0,300,3939.51,38771.8,Completed
2033-11-20,LocalBank,Monthly Retainer,40,150,731.58,14334.57,Completed
2033-11-27,TechStart,App Dev,10,200,3133.05,43937.47,Completed
2033-12-04,TechStart,Cloud Migration,40,300,2991.91,42870.96,On Hold
2033-12-11,LocalBank,Cloud Migration,10,150,2584.93,30753.11,Completed
2033-12-18,LocalBank,Monthly Retainer,250,200,708.41,20814.3,Ongoing
2033-12-25,MegaCorp,Monthly Retainer,10,300,3660.47,44074.65,Ongoing
2034-01-01,LocalBank,Cyber Audit,250,150,956.08,10305.81,Completed
2034-01-08,MegaCorp,Cyber Audit,250,300,3244.46,17728.85,Ongoing
2034-01-15,LocalBank,Monthly Retainer,40,0,1405.12,19251.54,On Hold
2034-01-22,MegaCorp,Cloud Migration,40,300,2529.47,3587.51,On Hold
2034-01-29,LocalBank,Cloud Migration,0,200,2860.33,28809.71,Completed
2034-02-05,LocalBank,Cloud Migration,250,0,4762.03,15596.63,Ongoing
2034-02-12,MegaCorp,App Dev,100,200,898.53,40101.19,On Hold
2034-02-19,CityGov,Monthly Retainer,10,150,2172.45,45952.7,Ongoing
2034-02-26,CityGov,App Dev,0,200,2656.37,15982.4,Ongoing
2034-03-05,TechStart,App Dev,40,300,2528.02,27213.67,On Hold
2034-03-12,LocalBank,App Dev,10,200,2010.15,40755.2,Completed
2034-03-19,MegaCorp,Monthly Retainer,0,300,461.11,7641.71,Ongoing
2034-03-26,LocalBank,App Dev,250,200,900.73,43186.73,Completed
2034-04-02,TechStart,Monthly Retainer,10,300,887.17,48668.26,Completed
2034-04-09,MegaCorp,O365 Licenses,40,300,3482.0,7245.48,Ongoing
2034-04-16,CityGov,O365 Licenses,10,150,1562.08,1711.02,On Hold
2034-04-23,MegaCorp,Cloud Migration,40,200,2904.09,43420.64,Ongoing
2034-04-30,TechStart,Cloud Migration,40,300,2758.09,33887.99,Ongoing
2034-05-07,LocalBank,Cloud Migration,0,0,1444.51,9307.95,On Hold
2034-05-14,TechStart,O365 Licenses,250,150,3787.92,15404.69,On Hold
2034-05-21,CityGov,App Dev,40,150,713.02,22404.21,Completed
2034-05-28,LocalBank,App Dev,100,300,40.92,29652.8,Ongoing
2034-06-04,LocalBank,O365 Licenses,100,300,4572.17,36965.79,On Hold
2034-06-11,LocalBank,Cloud Migration,10,0,4525.31,16472.27,On Hold
2034-06-18,MegaCorp,Monthly Retainer,10,200,1290.44,7499.57,Completed
2034-06-25,CityGov,Cloud Migration,100,0,3843.62,30661.88,On Hold
2034-07-02,MegaCorp,Cyber Audit,250,0,1776.4,30558.83,On Hold
2034-07-09,TechStart,App Dev,10,200,1160.48,34732.97,Ongoing
2034-07-16,CityGov,O365 Licenses,250,0,972.48,39544.24,Ongoing
2034-07-23,CityGov,Cyber Audit,40,0,1937.53,10614.0,Completed
2034-07-30,LocalBank,Cyber Audit,40,150,214.62,39122.57,Ongoing
2034-08-06,LocalBank,App Dev,40,0,2776.25,37139.64,Completed
2034-08-13,CityGov,O365 Licenses,10,200,3001.24,9674.44,On Hold
2034-08-20,LocalBank,Monthly Retainer,0,300,2169.11,49302.93,Ongoing
2034-08-27,CityGov,Monthly Retainer,0,150,4890.12,14287.37,Ongoing
2034-09-03,TechStart,Cloud Migration,250,150,248.4,39957.77,Ongoing
2034-09-10,LocalBank,App Dev,100,300,4909.03,38164.64,Completed
2034-09-17,TechStart,Monthly Retainer,10,150,2161.26,41491.93,Ongoing
2034-09-24,CityGov,O365 Licenses,0,300,2749.51,41838.21,On Hold
2034-10-01,LocalBank,Cyber Audit,250,150,3403.14,39408.56,Completed
2034-10-08,CityGov,Cloud Migration,0,300,3421.49,22703.61,Ongoing
2034-10-15,CityGov,App Dev,10,300,176.46,17586.47,Completed
2034-10-22,CityGov,O365 Licenses,40,150,4687.07,33594.49,Completed
2034-10-29,TechStart,O365 Licenses,10,300,4149.97,41593.06,Ongoing
2034-11-05,TechStart,Cloud Migration,100,300,2496.8,29596.38,Completed
2034-11-12,MegaCorp,App Dev,0,300,2424.38,28663.56,Completed
2034-11-19,MegaCorp,Cyber Audit,10,150,2977.21,1788.26,On Hold
2034-11-26,MegaCorp,Cyber Audit,40,300,2582.15,6180.44,Completed
2034-12-03,CityGov,Cloud Migration,100,150,2115.26,29974.92,Ongoing
2034-12-10,MegaCorp,Cyber Audit,10,150,4093.72,45302.43,On Hold
2034-12-17,CityGov,Monthly Retainer,0,150,3060.12,1395.78,Completed
2034-12-24,MegaCorp,Monthly Retainer,10,300,3116.34,6135.44,On Hold
2034-12-31,LocalBank,O365 Licenses,250,300,396.46,12001.4,Ongoing
2035-01-07,MegaCorp,O365 Licenses,250,300,357.55,41751.4,Completed
2035-01-14,LocalBank,Cyber Audit,0,0,217.53,28850.69,Completed
2035-01-21,CityGov,Monthly Retainer,250,150,1945.59,4086.59,Ongoing
2035-01-28,MegaCorp,Monthly Retainer,100,0,53.45,8317.84,On Hold
2035-02-04,TechStart,App Dev,250,200,3715.81,29270.11,On Hold
2035-02-11,TechStart,Monthly Retainer,40,0,1100.05,27694.75,On Hold
2035-02-18,CityGov,Monthly Retainer,10,300,3387.94,7258.69,Completed
2035-02-25,MegaCorp,Cloud Migration,0,200,1678.77,22212.28,Ongoing
2035-03-04,LocalBank,Cloud Migration,10,200,1285.32,11917.51,Completed
2035-03-11,TechStart,Monthly Retainer,250,300,2610.2,35390.47,On Hold
2035-03-18,MegaCorp,App Dev,100,150,3344.42,14480.35,On Hold
2035-03-25,MegaCorp,Monthly Retainer,10,300,2470.46,33537.24,Completed
2035-04-01,TechStart,App Dev,40,300,922.27,16205.83,Ongoing
2035-04-08,MegaCorp,Monthly Retainer,100,300,1728.6,20697.88,On Hold
2035-04-15,LocalBank,App Dev,100,150,4817.42,30200.75,On Hold
2035-04-22,LocalBank,Monthly Retainer,10,150,2464.71,33822.36,On Hold
2035-04-29,TechStart,Cyber Audit,250,0,4557.18,49628.47,Ongoing
2035-05-06,MegaCorp,Monthly Retainer,40,300,570.62,28694.57,Completed
2035-05-13,TechStart,Cloud Migration,10,200,2712.37,4107.34,Ongoing
2035-05-20,MegaCorp,App Dev,0,150,505.19,21749.58,On Hold
2035-05-27,CityGov,Cloud Migration,0,300,4158.33,17228.55,On Hold
2035-06-03,LocalBank,Cyber Audit,10,150,4756.16,46362.62,Completed
2035-06-10,LocalBank,Monthly Retainer,250,200,4375.56,32598.85,Completed
2035-06-17,CityGov,Monthly Retainer,250,300,2171.01,11740.83,Completed
2035-06-24,TechStart,Cyber Audit,0,0,3778.05,44480.92,Completed
2035-07-01,CityGov,Cloud Migration,100,200,2151.79,28216.24,Ongoing
2035-07-08,MegaCorp,O365 Licenses,0,200,890.54,46688.41,Ongoing
2035-07-15,TechStart,Cyber Audit,10,300,2112.1,46205.97,Completed
2035-07-22,LocalBank,O365 Licenses,100,150,2385.53,23929.57,Completed
2035-07-29,CityGov,O365 Licenses,100,300,4004.48,31256.09,Completed
2035-08-05,MegaCorp,Cloud Migration,100,200,351.91,23591.3,Ongoing
2035-08-12,LocalBank,O365 Licenses,100,300,2547.65,38526.15,On Hold
2035-08-19,MegaCorp,O365 Licenses,0,200,3829.61,40839.83,Completed
2035-08-26,MegaCorp,Monthly Retainer,10,200,305.4,30175.28,Ongoing
2035-09-02,TechStart,App Dev,0,150,3155.71,40351.91,On Hold
2035-09-09,LocalBank,Monthly Retainer,40,0,4447.09,11944.55,On Hold
2035-09-16,LocalBank,Cyber Audit,10,0,4098.6,3901.0,On Hold
2035-09-23,LocalBank,Cyber Audit,40,300,2267.59,16758.17,Completed
2035-09-30,TechStart,App Dev,0,0,2304.02,20373.32,Completed
2035-10-07,MegaCorp,Cyber Audit,40,200,4479.43,5772.16,On Hold
2035-10-14,TechStart,Monthly Retainer,10,0,407.6,2832.21,On Hold
2035-10-21,CityGov,Cyber Audit,10,150,1667.77,11281.12,On Hold
2035-10-28,CityGov,Cyber Audit,0,0,4287.89,31846.33,Completed
2035-11-04,CityGov,Monthly Retainer,10,300,1285.65,40493.32,On Hold
2035-11-11,TechStart,Cloud Migration,0,150,531.74,35865.81,Completed
2035-11-18,MegaCorp,O365 Licenses,250,0,4452.4,46114.39,On Hold
2035-11-25,MegaCorp,App Dev,100,200,2360.75,43971.18,On Hold
2035-12-02,TechStart,O365 Licenses,40,0,2382.64,40877.94,Completed
2035-12-09,TechStart,O365 Licenses,250,0,4048.93,27400.67,On Hold
2035-12-16,MegaCorp,Cloud Migration,100,300,1545.3,6565.9,Ongoing
2035-12-23,CityGov,Monthly Retainer,250,200,972.22,12705.54,Completed
2035-12-30,TechStart,Monthly Retainer,10,0,2223.26,26457.76,Completed
2036-01-06,MegaCorp,App Dev,0,200,4258.59,2121.99,Completed
2036-01-13,MegaCorp,Cloud Migration,40,200,4729.63,30969.3,Completed
2036-01-20,MegaCorp,Cyber Audit,0,200,3091.43,30661.31,Ongoing
2036-01-27,CityGov,Cloud Migration,10,300,4281.96,46671.48,Completed
2036-02-03,MegaCorp,App Dev,250,200,3476.93,3511.15,Ongoing
2036-02-10,TechStart,O365 Licenses,10,300,1821.38,18028.01,On Hold
2036-02-17,MegaCorp,Cyber Audit,100,0,1994.54,27509.44,Completed
2036-02-24,TechStart,App Dev,100,150,1936.87,36270.49,Ongoing
2036-03-02,LocalBank,App Dev,250,150,4313.56,36946.65,On Hold
2036-03-09,TechStart,O365 Licenses,100,300,1997.45,48427.4,Completed
2036-03-16,CityGov,Cyber Audit,10,0,2487.27,6767.95,Completed
2036-03-23,TechStart,Cloud Migration,250,150,3154.06,7252.87,Ongoing
2036-03-30,MegaCorp,Monthly Retainer,250,300,293.19,25004.1,On Hold
2036-04-06,CityGov,Monthly Retainer,250,150,1645.29,6569.09,On Hold
2036-04-13,LocalBank,O365 Licenses,100,200,2727.51,16078.65,Ongoing
2036-04-20,CityGov,Cyber Audit,0,150,1525.13,45410.41,Completed
2036-04-27,MegaCorp,Cloud Migration,40,150,1515.12,4861.76,Completed
2036-05-04,MegaCorp,O365 Licenses,10,200,4000.0,37529.53,Completed
2036-05-11,LocalBank,O365 Licenses,250,150,1807.05,18529.06,Completed
2036-05-18,LocalBank,Cyber Audit,10,300,2012.97,16166.43,On Hold
2036-05-25,LocalBank,Cyber Audit,10,200,690.17,3459.89,On Hold
2036-06-01,LocalBank,Monthly Retainer,250,150,3987.65,20114.45,On Hold
2036-06-08,CityGov,App Dev,40,200,911.99,3535.47,Ongoing
2036-06-15,TechStart,Cyber Audit,0,150,2923.99,42127.03,On Hold
2036-06-22,TechStart,Cyber Audit,40,300,2065.75,21677.72,On Hold
2036-06-29,CityGov,Monthly Retainer,40,200,543.99,8464.21,Completed
2036-07-06,TechStart,Cyber Audit,0,150,1448.7,17535.94,Ongoing
2036-07-13,TechStart,Cloud Migration,10,200,4790.19,9053.03,Ongoing
2036-07-20,CityGov,O365 Licenses,0,300,2756.32,30282.36,Ongoing
2036-07-27,LocalBank,Monthly Retainer,100,150,443.28,34072.75,On Hold
2036-08-03,CityGov,O365 Licenses,40,0,4974.83,14264.02,Completed
2036-08-10,LocalBank,App Dev,100,300,3431.77,20309.14,Ongoing
